#framenumber time energy filename iter
4950 2.475 0 worm_004950.vtu 0
4960 2.48 0 worm_004960.vtu 0
4970 2.485 0 worm_004970.vtu 0
4980 2.49 0 worm_004980.vtu 0
4990 2.495 0 worm_004990.vtu 0
5000 2.5 0 worm_005000.vtu 0
5010 2.505 0 worm_005010.vtu 0
5020 2.51 0 worm_005020.vtu 0
5030 2.515 0 worm_005030.vtu 0
5040 2.52 0 worm_005040.vtu 0
5050 2.525 0 worm_005050.vtu 0
5060 2.53 0 worm_005060.vtu 0
5070 2.535 0 worm_005070.vtu 0
5080 2.54 0 worm_005080.vtu 0
5090 2.545 0 worm_005090.vtu 0
5100 2.55 0 worm_005100.vtu 0
5110 2.555 0 worm_005110.vtu 0
5120 2.56 0 worm_005120.vtu 0
5130 2.565 0 worm_005130.vtu 0
5140 2.57 0 worm_005140.vtu 0
5150 2.575 0 worm_005150.vtu 0
5160 2.58 0 worm_005160.vtu 0
5170 2.585 0 worm_005170.vtu 0
5180 2.59 0 worm_005180.vtu 0
5190 2.595 0 worm_005190.vtu 0
5200 2.6 0 worm_005200.vtu 0
5210 2.605 0 worm_005210.vtu 0
5220 2.61 0 worm_005220.vtu 0
5230 2.615 0 worm_005230.vtu 0
5240 2.62 0 worm_005240.vtu 0
5250 2.625 0 worm_005250.vtu 0
5260 2.63 0 worm_005260.vtu 0
5270 2.635 0 worm_005270.vtu 0
5280 2.64 0 worm_005280.vtu 0
5290 2.645 0 worm_005290.vtu 0
5300 2.65 0 worm_005300.vtu 0
5310 2.655 0 worm_005310.vtu 0
5320 2.66 0 worm_005320.vtu 0
5330 2.665 0 worm_005330.vtu 0
5340 2.67 0 worm_005340.vtu 0
5350 2.675 0 worm_005350.vtu 0
5360 2.68 0 worm_005360.vtu 0
5370 2.685 0 worm_005370.vtu 0
5380 2.69 0 worm_005380.vtu 0
5390 2.695 0 worm_005390.vtu 0
5400 2.7 0 worm_005400.vtu 0
5410 2.705 0 worm_005410.vtu 0
5420 2.71 0 worm_005420.vtu 0
5430 2.715 0 worm_005430.vtu 0
5440 2.72 0 worm_005440.vtu 0
5450 2.725 0 worm_005450.vtu 0
5460 2.73 0 worm_005460.vtu 0
5470 2.735 0 worm_005470.vtu 0
5480 2.74 0 worm_005480.vtu 0
5490 2.745 0 worm_005490.vtu 0
5500 2.75 0 worm_005500.vtu 0
5510 2.755 0 worm_005510.vtu 0
5520 2.76 0 worm_005520.vtu 0
5530 2.765 0 worm_005530.vtu 0
5540 2.77 0 worm_005540.vtu 0
5550 2.775 0 worm_005550.vtu 0
5560 2.78 0 worm_005560.vtu 0
5570 2.785 0 worm_005570.vtu 0
5580 2.79 0 worm_005580.vtu 0
5590 2.795 0 worm_005590.vtu 0
5600 2.8 0 worm_005600.vtu 0
5610 2.805 0 worm_005610.vtu 0
5620 2.81 0 worm_005620.vtu 0
5630 2.815 0 worm_005630.vtu 0
5640 2.82 0 worm_005640.vtu 0
5650 2.825 0 worm_005650.vtu 0
5660 2.83 0 worm_005660.vtu 0
5670 2.835 0 worm_005670.vtu 0
5680 2.84 0 worm_005680.vtu 0
5690 2.845 0 worm_005690.vtu 0
5700 2.85 0 worm_005700.vtu 0
5710 2.855 0 worm_005710.vtu 0
5720 2.86 0 worm_005720.vtu 0
5730 2.865 0 worm_005730.vtu 0
5740 2.87 0 worm_005740.vtu 0
5750 2.875 0 worm_005750.vtu 0
5760 2.88 0 worm_005760.vtu 0
5770 2.885 0 worm_005770.vtu 0
5780 2.89 0 worm_005780.vtu 0
5790 2.895 0 worm_005790.vtu 0
5800 2.9 0 worm_005800.vtu 0
5810 2.905 0 worm_005810.vtu 0
5820 2.91 0 worm_005820.vtu 0
5830 2.915 0 worm_005830.vtu 0
5840 2.92 0 worm_005840.vtu 0
5850 2.925 0 worm_005850.vtu 0
5860 2.93 0 worm_005860.vtu 0
5870 2.935 0 worm_005870.vtu 0
5880 2.94 0 worm_005880.vtu 0
5890 2.945 0 worm_005890.vtu 0
5900 2.95 0 worm_005900.vtu 0
5910 2.955 0 worm_005910.vtu 0
5920 2.96 0 worm_005920.vtu 0
5930 2.965 0 worm_005930.vtu 0
5940 2.97 0 worm_005940.vtu 0
5950 2.975 0 worm_005950.vtu 0
5960 2.98 0 worm_005960.vtu 0
5970 2.985 0 worm_005970.vtu 0
5980 2.99 0 worm_005980.vtu 0
5990 2.995 0 worm_005990.vtu 0
6000 3 0 worm_006000.vtu 0
6010 3.005 0 worm_006010.vtu 0
6020 3.01 0 worm_006020.vtu 0
6030 3.015 0 worm_006030.vtu 0
6040 3.02 0 worm_006040.vtu 0
6050 3.025 0 worm_006050.vtu 0
